trade_date,iskew,date,close,iskewness,ret,skewness,skew_premia
20150211,105.90584629713348,2015-02-11,2.38,-0.5905846297133479,,,
20150212,103.44499194979312,2015-02-12,2.384,-0.34449919497931203,0.001680672268907557,,
20150213,105.5196195633894,2015-02-13,2.39,-0.5519619563389397,0.002516778523490082,,
20150216,105.42410491330378,2015-02-16,2.394,-0.5424104913303779,0.0016736401673640433,,
20150217,106.31462553106768,2015-02-17,2.411,-0.6314625531067677,0.007101086048454386,,
20150225,102.7532248617596,2015-02-25,2.37,-0.27532248617596056,-0.017005391953546223,,
20150226,109.81144870723634,2015-02-26,2.45,-0.9811448707236338,0.03375527426160341,,
20150227,105.0644808674596,2015-02-27,2.438,-0.5064480867459593,-0.004897959183673528,,
20150302,104.8751761331365,2015-03-02,2.441,-0.4875176133136506,0.0012305168170629877,,
20150303,100.23163163431092,2015-03-03,2.364,-0.023163163431091503,-0.031544448996312924,,
20150304,100.26063198316172,2015-03-04,2.362,-0.026063198316171564,-0.0008460236886631556,,
20150305,98.6277222100528,2015-03-05,2.334,0.1372277789947205,-0.011854360711261669,,
20150306,99.34170360562364,2015-03-06,2.339,0.06582963943763645,0.002142245072836335,,
20150309,102.87440524714596,2015-03-09,2.397,-0.2874405247145958,0.02479692176143633,,
20150310,100.50698603900663,2015-03-10,2.359,-0.050698603900663386,-0.015853149770546415,,
20150311,101.2031421620278,2015-03-11,2.374,-0.12031421620278024,0.006358626536668188,,
20150312,106.29101483982068,2015-03-12,2.448,-0.6291014839820676,0.031171019376579512,,
20150313,105.35759870552856,2015-03-13,2.455,-0.5357598705528559,0.0028594771241829964,,
20150316,110.01828924661352,2015-03-16,2.51,-1.001828924661352,0.02240325865580428,,
20150317,109.72686734103416,2015-03-17,2.543,-0.9726867341034164,0.013147410358565814,,
20150318,112.24340624806968,2015-03-18,2.611,-1.2243406248069675,0.02674007078254026,-0.06533019076752694,1.1590104340394405
20150319,107.98877211017152,2015-03-19,2.587,-0.7988772110171525,-0.009191880505553418,0.012112361980108241,0.8109895729972607
20150320,110.65119065080816,2015-03-20,2.635,-1.065119065080816,0.018554310011596353,-0.10909827489445466,0.9560207901863613
20150323,109.72441861094228,2015-03-23,2.676,-0.972441861094228,0.01555977229601524,-0.22490123035783405,0.747540630736394
